Core, 0
Cumulative Cycles, 42269               
Cumulative Instructions, 9999                
Cumulative IPC, 0.23656
Periodic Cycles, 42269               
Periodic Instructions, 9999                
Periodic IPC, 0.23656

BTB_ON_PATH_MISS_count,           935
BTB_ON_PATH_MISS_pct,       45.744
BTB_ON_PATH_MISS_total_count,           935
BTB_ON_PATH_MISS_total_pct,       45.744

BTB_ON_PATH_HIT_count,          1109
BTB_ON_PATH_HIT_pct,       54.256
BTB_ON_PATH_HIT_total_count,          1109
BTB_ON_PATH_HIT_total_pct,       54.256
BTB_ON_PATH_HIT_sum_count,          2044
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,          2044
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.54
BTB_ON_PATH_HIT_stddev,         0.52
BTB_ON_PATH_HIT_total_mean,         0.54
BTB_ON_PATH_HIT_total_stddev,         0.52

BTB_OFF_PATH_MISS_count,          1037
BTB_OFF_PATH_MISS_pct,       46.817
BTB_OFF_PATH_MISS_total_count,          1037
BTB_OFF_PATH_MISS_total_pct,       46.817

BTB_OFF_PATH_HIT_count,          1178
BTB_OFF_PATH_HIT_pct,       53.183
BTB_OFF_PATH_HIT_total_count,          1178
BTB_OFF_PATH_HIT_total_pct,       53.183
BTB_OFF_PATH_HIT_sum_count,          2215
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,          2215
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.53
BTB_OFF_PATH_HIT_stddev,         0.52
BTB_OFF_PATH_HIT_total_mean,         0.53
BTB_OFF_PATH_HIT_total_stddev,         0.52

BTB_ON_PATH_WRITE_count,           167
BTB_ON_PATH_WRITE_pct,       71.983
BTB_ON_PATH_WRITE_total_count,           167
BTB_ON_PATH_WRITE_total_pct,       71.983

BTB_OFF_PATH_WRITE_count,            65
BTB_OFF_PATH_WRITE_pct,       28.017
BTB_OFF_PATH_WRITE_total_count,            65
BTB_OFF_PATH_WRITE_total_pct,       28.017
BTB_OFF_PATH_WRITE_sum_count,           232
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,           232
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.28
BTB_OFF_PATH_WRITE_stddev,         0.41
BTB_OFF_PATH_WRITE_total_mean,         0.28
BTB_OFF_PATH_WRITE_total_stddev,         0.41

BP_ON_PATH_CORRECT_count,          1940
BP_ON_PATH_CORRECT_pct,       94.912
BP_ON_PATH_CORRECT_total_count,          1940
BP_ON_PATH_CORRECT_total_pct,       94.912

BP_ON_PATH_MISPREDICT_count,           104
BP_ON_PATH_MISPREDICT_pct,        5.088
BP_ON_PATH_MISPREDICT_total_count,           104
BP_ON_PATH_MISPREDICT_total_pct,        5.088

BP_ON_PATH_MISFETCH_count,             0
BP_ON_PATH_MISFETCH_pct,        0.000
BP_ON_PATH_MISFETCH_total_count,             0
BP_ON_PATH_MISFETCH_total_pct,        0.000
BP_ON_PATH_MISFETCH_sum_count,          2044
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,          2044
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.05
BP_ON_PATH_MISFETCH_stddev,         0.21
BP_ON_PATH_MISFETCH_total_mean,         0.05
BP_ON_PATH_MISFETCH_total_stddev,         0.21

BP_OFF_PATH_CORRECT_count,          2067
BP_OFF_PATH_CORRECT_pct,       93.318
BP_OFF_PATH_CORRECT_total_count,          2067
BP_OFF_PATH_CORRECT_total_pct,       93.318

BP_OFF_PATH_MISPREDICT_count,           123
BP_OFF_PATH_MISPREDICT_pct,        5.553
BP_OFF_PATH_MISPREDICT_total_count,           123
BP_OFF_PATH_MISPREDICT_total_pct,        5.553

BP_OFF_PATH_MISFETCH_count,            25
BP_OFF_PATH_MISFETCH_pct,        1.129
BP_OFF_PATH_MISFETCH_total_count,            25
BP_OFF_PATH_MISFETCH_total_pct,        1.129
BP_OFF_PATH_MISFETCH_sum_count,          2215
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,          2215
BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
BP_OFF_PATH_MISFETCH_mean,         0.08
BP_OFF_PATH_MISFETCH_stddev,         0.30
BP_OFF_PATH_MISFETCH_total_mean,         0.08
BP_OFF_PATH_MISFETCH_total_stddev,         0.30

LATE_BP_ON_PATH_CORRECT_count,          2044
LATE_BP_ON_PATH_CORRECT_pct,      100.000
